origin,destination,otherOptions1,otherOptions2,otherOptions3,type,romanization,audioUrl
公媽,Grandparents,Grandfather,Grandmother,Great-grandparents,word,kong-má,../../data/generated_audios/kong1-ma2.wav
學校,School,College,University,Hospital,word,ha̍k-hāu,../../data/generated_audios/hak8-hau7.wav
老師,Teacher,Instructor,Professor,Student,word,lāu-su,../../data/generated_audios/lau7-su1.wav
學生,Student,Pupil,Scholar,Teacher,word,ha̍k-sing,../../data/generated_audios/hak8-sing1.wav
冊,Book,Exam,Course,Journal,word,tsheh,../../data/generated_audios/tsheh4.wav
課程,Course,Class,Book,Program,word,khò-tîng,../../data/generated_audios/kho3-ting5.wav
考試,Exam,Project,Homework,Grade,word,khó-tshì,../../data/generated_audios/kho2-tshi3.wav
作業,Homework,Exam,Task,Project,word,tsok-gia̍p,../../data/generated_audios/tsok4-giap8.wav
教室,Classroom,Office,Study room,Laboratory,word,kàu-sik,../../data/generated_audios/kau3-sik4.wav
成績,Grade,Price,Quality,Result,word,sîng-tsik,../../data/generated_audios/sing5-tsik4.wav
學位,Degree,School,Certificate,Qualification,word,ha̍k-uī,../../data/generated_audios/hak8-ui7.wav
運動,Sports,Music,Exercise,Activity,word,ūn-tōng,../../data/generated_audios/un7-tong7.wav
音樂,Music,Song,Movie,Sports,word,im-ga̍k,../../data/generated_audios/im1-gak8.wav
電影,Movie,Music,Show,Picture,word,tiān-iánn,../../data/generated_audios/tian7-iann2.wav
書籍,Books,Novels,Comics,Movie,word,su-tsi̍k,../../data/generated_audios/su1-tsik8.wav
畫圖,Painting,Drawing,Sketching,Art,word,uē-tôo,../../data/generated_audios/ue7-too5.wav
旅行,Travel,Trip,Journey,Dancing,word,lú-hîng,../../data/generated_audios/li2-hing5.wav
園藝,Gardening,Farming,Planting,Cooking,word,uân-gē,../../data/generated_audios/uan5-ge7.wav
料理,Cooking,Baking,Frying,Fishing,word,liāu-lí,../../data/generated_audios/liau7-li2.wav
釣魚,Fishing,Boating,Cooking,Swimming,word,tiò-hî,../../data/generated_audios/tio3-hi5.wav
跳舞,Dancing,Singing,Gardening,Music,word,thiàu-bú,../../data/generated_audios/thiau3-bu2.wav
救命,Help,Service,Escape,First aid,word,kiù-miā,../../data/generated_audios/kiu3-mia7.wav
火災,Fire,Flame,Blaze,Danger,word,hué-tsai,../../data/generated_audios/hue2-tsai1.wav
警察,Police,Officer,Detective,Doctor,word,kíng-tshat,../../data/generated_audios/king2-tshat4.wav
醫生,Doctor,Medic,Nurse,Paramedic,word,i-sing,../../data/generated_audios/i1-sing1.wav
緊急,Emergency,Urgent,Danger,Immediate,word,kín-kip,../../data/generated_audios/kin2-kip4.wav
危險,Danger,Risk,Threat,Help,word,guî-hiám,../../data/generated_audios/gui5-hiam2.wav
走去予人追,Escape,Run,Fire,Danger,word,tsáu-khì hōo-lâng tui,../../data/generated_audios/tsau2-khi3 hoo7 lang5 tui1.wav
報案,Report,First aid,Danger,Alert,word,pò-àn,../../data/generated_audios/po3-an3.wav
急救,First aid,Medicine,CPR,Help,word,kip-kiù,../../data/generated_audios/kip4-kiu3.wav
地動,Earthquake,Tremor,Event,Weather,word,tē-tāng,../../data/generated_audios/te7-tang7.wav
天氣,Weather,Earthquake,Forecast,Temperature,word,thinn-khì,../../data/generated_audios/thinn1-khi3.wav
新聞,News,Report,Update,Books,word,sin-bûn,../../data/generated_audios/sin1-bun5.wav
事件,Event,Report,Weather,Incident,word,sū-kiānn,../../data/generated_audios/su7-kiann7.wav
時間,Time,Hour,Minute,Date,word,sî-kan,../../data/generated_audios/si5-kan1.wav
日期,Date,Time,Month,Year,word,ji̍t-kî,../../data/generated_audios/jit8-ki5.wav
色水,Color,Sound,Shade,Time,word,sik-tsuí,../../data/generated_audios/sik4-tsui2.wav
聲音,Sound,Color,Tone,Voice,word,siann-im,../../data/generated_audios/siann1-im1.wav
圖畫,Picture,Color,Movie,Snapshot,word,tôo-uē,../../data/generated_audios/too5-ue7.wav
批,Letter,Mail,Sound,Message,word,phue,../../data/generated_audios/phue1.wav
問題,Question,Report,Letter,Issue,word,būn-tê,../../data/generated_audios/bun7-te5.wav
